GEOID,estimate
31025,71139
31027,58978
31029,55833
31031,53684
31033,56538
31035,56316
31037,56528
31039,55190
31041,49891
31043,55017
31045,51748
31047,53769
31049,48500
31051,56775
31053,53101
31055,61688
31057,44350
31059,55625
31061,49235
31063,51855
31065,47989
31067,51662
31069,44471
31071,48545
31073,62545
31075,39479
31077,47128
31079,54742
31081,64042
31083,50344
31085,45515
31087,42902
31089,57468
31091,39115
31093,54399
31095,43295
31097,52794
31099,56952
31101,48901
31103,49688
31105,43856
31107,49752
31109,58009
31111,56794
31113,51607
31115,53125
31117,48882
31119,52857
31121,54197
31123,45121
31125,45833
31127,51922
31129,42049
31131,54828
31133,46314
31135,62469
31137,57241
31139,56620
31141,62617
31143,61962
31145,46859
31147,48096
31149,52604
31151,51143
31153,79549
31155,66718
31157,50157
31159,67591
31161,41719
31163,51172
31165,46875
31167,62687
31169,50734
31171,50682
31173,48149
31175,55170
31177,70753
31179,62623
31181,42298
31183,52083
31185,59779
32001,51514
32003,56802
32005,62503
32007,77209
32009,40000
32011,77625
32013,70373
32015,93583
32017,56414
32019,55493
32021,41163
32023,45711
32027,50846
32029,62284
32031,61155
32033,62993
32510,52034
33001,68368
33003,61116
33005,63057
33007,45696
33009,63153
33011,78655
33013,72478
33015,90429
33017,70650
33019,60780
34001,59989
34003,95837
34005,84992
34007,67118
34009,63690
34011,52593
34013,59302
34015,85160
34017,66289
34019,112535
34021,79990
34023,85954
34025,95699
34027,111316
34029,68021
34031,66476
34033,64309
34035,111772
34037,90520
34039,77095
34041,78145
35001,51643
35003,42480
35005,43197
35006,37368
35007,33783
35009,46182
35011,31028
35013,39164
35015,62982
35017,37880
35019,24085
35021,30875
35023,36339
35025,59797
35027,42267
35028,115248
35029,27377
35031,31674
35033,26968
35035,42752
35037,27075
35039,NA
35041,40775
35043,59420
35045,50582
35047,31660
35049,59192
35051,30451
35053,36146
35055,36758
35057,37218
35059,37936
35061,45084
36001,64535
36003,47033
36005,38085
36007,50859
36009,47240
36011,56579
36013,45332
36015,53299
36017,50595
36019,55178
36021,63032
36023,54489
36025,48827
36027,78028
36029,55673
36031,56196
36033,51696
36035,50248
36037,59338
36039,53617
36041,57552
36043,51862
36045,52268
36047,56015
36049,52380
36051,56071
36053,60228
36055,57479
36057,45837
36059,111240
36061,82459
36063,54085
36065,53844
36067,59225
36069,63359
36071,76716
36073,51843
36075,53597
36077,53121
36079,102186
36081,64987
36083,65851
36085,79267
36087,91108
36089,49305
36091,80839
36093,63785
36095,53989
36097,51479
36099,54695
36101,51789
36103,96675
36105,56256
36107,60736
36109,58743
36111,63348
36113,59813
36115,54114
36117,55765
36119,92758
36121,57914
36123,54343
37001,45735
37003,44961
37005,37558
37007,39126
37009,40978
37011,38134
37013,43688
37015,33143
37017,32378
37019,54406
37021,50668
37023,42516
37025,64174
37027,42072
37029,63349
37031,54428
37033,43961
37035,51157
37037,63531
37039,40294
37041,42621
37043,38801
37045,40393
37047,36398
37049,50870
37051,45716
37053,66284
37055,58012
37057,47271
37059,57611
37061,38850
